 sigma_kern  sigma_sim  fom_limit  mag_threshold_50.0  mag_threshold_80.0
        0.1        0.1      10.58           18.420310           18.094979
        0.1        0.2      10.58           18.736007           18.383806
        0.1        0.4      10.58           18.945336           18.552315
        0.1        0.6      10.58           19.115750           18.662949
        0.1        0.8      10.58           19.149340           18.680965
        0.1        1.0      10.58           19.236597           18.736394
        0.1        2.0      10.58           19.443111           18.933684
        0.1        3.0      10.58           19.557114           19.106893
        0.1        5.0      10.58           19.678599           19.210827
        0.2        0.1      14.37           18.374938           17.977280
        0.2        0.2      14.37           18.859988           18.500000
        0.2        0.4      14.37           19.187068           18.763842
        0.2        0.6      14.37           19.263397           18.812655
        0.2        0.8      14.37           19.326117           18.821772
        0.2        1.0      14.37           19.382099           18.886828
        0.2        2.0      14.37           19.564901           19.030196
        0.2        3.0      14.37           19.605943           19.137465
        0.2        5.0      14.37           19.766480           19.207140
        0.4        0.1      20.14           18.046169           17.625554
        0.4        0.2      20.14           18.737231           18.265432
        0.4        0.4      20.14           19.199059           18.749926
        0.4        0.6      20.14           19.399263           18.844532
        0.4        0.8      20.14           19.554933           18.978403
        0.4        1.0      20.14           19.605535           19.051493
        0.4        2.0      20.14           19.738793           19.176686
        0.4        3.0      20.14           19.778914           19.255874
        0.4        5.0      20.14           19.906545           19.298592
        0.6        0.1      27.30           17.728534           17.222667
        0.6        0.2      27.30           18.520373           17.953125
        0.6        0.4      27.30           19.098477           18.607707
        0.6        0.6      27.30           19.292674           18.796940
        0.6        0.8      27.30           19.465469           18.859966
        0.6        1.0      27.30           19.545414           19.035899
        0.6        2.0      27.30           19.661814           19.173467
        0.6        3.0      27.30           19.738569           19.264831
        0.6        5.0      27.30           19.933814           19.302956
        0.8        0.1      34.77           17.508499           17.042837
        0.8        0.2      34.77           18.183607           17.709384
        0.8        0.4      34.77           18.916509           18.299960
        0.8        0.6      34.77           19.148584           18.668133
        0.8        0.8      34.77           19.397050           18.783349
        0.8        1.0      34.77           19.497533           18.878671
        0.8        2.0      34.77           19.627923           19.167335
        0.8        3.0      34.77           19.704174           19.244903
        0.8        5.0      34.77           19.843626           19.281211
        1.0        0.1      42.31           17.217825           16.705070
        1.0        0.2      42.31           18.111382           17.474707
        1.0        0.4      42.31           18.644145           18.172656
        1.0        0.6      42.31           19.071085           18.528877
        1.0        0.8      42.31           19.174645           18.715499
        1.0        1.0      42.31           19.482494           18.776217
        1.0        2.0      42.31           19.587942           19.132061
        1.0        3.0      42.31           19.693586           19.223236
        1.0        5.0      42.31           19.888530           19.275703
        2.0        0.1      64.17           16.867173           16.153205
        2.0        0.2      64.17           17.673717           16.898568
        2.0        0.4      64.17           18.336838           17.697653
        2.0        0.6      64.17           18.704875           18.113861
        2.0        0.8      64.17           18.932700           18.298686
        2.0        1.0      64.17           19.086545           18.562974
        2.0        2.0      64.17           19.563768           18.949574
        2.0        3.0      64.17           19.738388           19.170496
        2.0        5.0      64.17           20.006014           19.285802
        3.0        0.1      75.71           16.735413                 NaN
        3.0        0.2      75.71           17.580351           16.708393
        3.0        0.4      75.71           18.198269           17.380050
        3.0        0.6      75.71           18.609318           17.775276
        3.0        0.8      75.71           18.820432           18.151194
        3.0        1.0      75.71           19.094271           18.270827
        3.0        2.0      75.71           19.611356           18.819365
        3.0        3.0      75.71           19.915888           19.065744
        3.0        5.0      75.71           20.166908           19.268112
        5.0        0.1      98.10           16.385752                 NaN
        5.0        0.2      98.10           17.234862           16.239453
        5.0        0.4      98.10           18.012331           17.106492
        5.0        0.6      98.10           18.384290           17.558165
        5.0        0.8      98.10           18.673580           17.738794
        5.0        1.0      98.10           18.813018           18.037893
        5.0        2.0      98.10           19.520295           18.635847
        5.0        3.0      98.10           19.824229           18.866889
        5.0        5.0      98.10           20.189480           19.220076
